uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
161,3.70E+11,Salisbury High School,3704050,Rowan-Salisbury Schools,2/10/2014,2013-2014,2014,2:41 PM,Monday,Salisbury,North Carolina,public,858,0,1,1,targeted,17,m,b,unknown,0,unknown,274,399,140,22,5,1,9mm gun (type unknown),unknown,35.6648,-80.4849,54.53,9,12,577,Rowan County,37,37159,22,rep,32,10701022
162,2.92E+11,Success Academy,2916400,Kansas City 33,2/20/2014,2013-2014,2014,10:30 AM,Thursday,Raytown,Missouri,public,175,1,0,1,targeted,42,m,b,father of student,0,unknown,,,,,,0,.45-caliber handgun ,legally purchased at pawn shop that morning,39.094,-94.5688,28.4,KG,12,,Jackson County,29,29095,11,rep,9,6184843
163,1.30E+11,Benjamin Banneker High School,1302280,Fulton County,3/25/2014,2013-2014,2014,1:00 PM,Tuesday,College Park,Georgia,public,1537,0,0,0,targeted,0,,unknown,unknown,0,unknown,3,1483,41,2,1,1,unknown,unknown,33.593,-84.5176,100.7,9,12,1376,Fulton County,13,13121,21,dem,23,10830007
164,3.70E+11,D. H. Conley High School,3700012,Pitt County Schools,4/9/2014,2013-2014,2014,1:30 PM,Wednesday,Greenville,North Carolina,public,1591,0,0,0,indiscriminate,17,m,b,student at rival school,0,unknown,973,395,138,27,5,0,.45-caliber handgun,unknown,35.5306,-77.3248,87.89,9,12,528,Pitt County,37,37147,41,rep,32,10701022
165,4.11E+11,Reynolds High School,4110520,Reynolds SD 7,6/10/2014,2013-2014,2014,8:07 AM,Tuesday,Troutdale,Oregon,public,2806,1,1,2,indiscriminate,15,m,w,student,1,suicide,1208,231,917,263,21,1,M4 AR-15 rifle,brother,45.5285,-122.4026,106.78,9,12,1744,Multnomah County,41,41051,21,dem,37,4325290
166,1.20E+11,Stellar Leadership Academy,1200390,Dade,9/9/2014,2014-2015,2014,unknown,Tuesday,Miami,Florida,public,233,0,1,1,targeted,0,,unknown,unknown,0,unknown,0,204,29,0,0,0,unknown,unknown,25.84814,-80.243461,13,9,12,62,Miami-Dade County,12,12086,21,rep,30,21944577
167,2.10E+11,Fern Creek High School,2102990,Jefferson County,9/30/2014,2014-2015,2014,1:00 PM,Tuesday,Louisville,Kentucky,public,1545,0,1,1,targeted,16,m,b,student,0,unknown,716,577,136,73,1,1,handgun ,unknown,38.156605,-85.592357,82.9,9,12,930,Jefferson County,21,21111,11,rep,7,4487233
168,3.70E+11,Albemarle High School,3704320,Stanly County Schools,9/30/2014,2014-2015,2014,7:40 AM,Tuesday,Albemarle,North Carolina,public,464,0,1,1,targeted,15,m,unknown,student,0,unknown,199,180,30,23,3,1,handgun,unknown,35.371268,-80.193152,34.66,9,12,327,Stanly County,37,37167,32,rep,32,10701022
169,5.30E+11,Marysville Pilchuck High School,5304860,Marysville School District,10/24/2014,2014-2015,2014,10:39 AM,Friday,Marysville,Washington,public,1253,4,1,5,targeted,15,m,n,student,1,suicide,736,25,250,46,77,1,.40-caliber Beretta Px4 Storm handgun,father,48.09582,-122.154021,55.3,9,12,532,Snohomish County,53,53061,22,dem,42,7887965
170,A1301728,Hand in Hand Montessori,,,1/26/2015,2014-2015,2015,3:07 PM,Monday,Roseville,Minnesota,private,288,0,0,0,indiscriminate,48,m,unknown,unknown,1,suicide,178,5,3,12,0,0,unknown,unknown,45.004709,-93.177024,21.4,PK,8,,Ramsey County,27,27123,21,dem,33,5739781
171,5.31E+11,North Thurston High School,5305850,North Thurston Public Schools,4/27/2015,2014-2015,2015,7:25 AM,Monday,Lacey,Washington,public,1477,0,0,0,indiscriminate,16,m,unknown,student,0,unknown,842,73,237,165,22,1,.357 Magnum,father,47.051956,-122.83241,70.4,9,12,546,Thurston County,53,53067,22,dem,42,7887965
172,1.30E+11,W.S. Hornsby Elementary School,1304380,Richmond County,8/25/2015,2015-2016,2015,10:45 AM,Tuesday,Augusta,Georgia,public,742,0,1,1,accidental,0,m,unknown,student,0,unknown,12,717,3,0,0,1,.380 semi-automatic handgun,grandmother's boyfriend,33.459564,-81.937992,0,PK,5,,Richmond County,13,13245,12,dem,23,10830007
173,4.63E+11,Harrisburg High School,4631350,Harrisburg School District 41-2,9/30/2015,2015-2016,2015,10:00 AM,Wednesday,Harrisburg,South Dakota,public,802,0,1,1,targeted,16,m,w,student,0,unknown,738,12,17,9,10,0,handgun,unknown,43.43212,-96.6998,64.2,9,12,117,Lincoln County,46,46083,41,rep,11,902542
174,4.82E+11,Karen Wagner High School,4824990,Judson ISD,10/15/2015,2015-2016,2015,9:15 AM,Thursday,San Antonio,Texas,public,2260,0,0,0,targeted,22,f,b,friend of student,0,unknown,203,678,1299,38,5,1,unknown,unknown,29.45738,-98.3578,145.7,9,12,1620,Bexar County,48,48029,21,rep,10,29730311
175,1.30E+11,Vereen School,1301380,Colquitt County,11/5/2015,2015-2016,2015,unknown,Thursday,Moultrie,Georgia,public,40,0,0,0,targeted,0,m,unknown,student,0,unknown,,,,,,1,semiautomatic pistol,department issued,31.175943,-83.804368,0,0,0,,Colquitt County,13,13071,41,dem,23,10830007
176,1.20E+11,Lecanto High School,1200270,Citrus,11/10/2015,2015-2016,2015,10:30 AM,Tuesday,Lecanto,Florida,public,1567,0,0,0,public suicide,15,m,unknown,student ,0,unknown,1243,72,132,59,12,1,Walther P1 9mm semiautomatic handgun,unknown,28.824494,-82.499153,84,9,12,839,Citrus County,12,12017,41,rep,30,21944577
177,50729000443,Harmony Grove High School,507290,Harmony Grove School District,1/13/2016,2015-2016,2016,3:00 PM,Wednesday,Camden,Arkansas,public,393,0,1,1,accidental,17,m,unknown,student,0,unknown,294,69,20,3,0,0,pistol,unknown,33.6514,-92.7796,47.17,7,12,195,Ouachita County,5,5103,42,rep,25,3042017
178,4.22E+11,Benjamin Franklin High School,4218990,Philadelphia City SD,1/29/2016,2015-2016,2016,12:00 PM,Friday,Philadelphia,Pennsylvania,public,612,0,0,0,targeted,16,m,unknown,unknown,0,unknown,9,516,46,31,1,0,.45-caliber handgun,unknown,39.96367,-75.162,44.42,9,12,612,Philadelphia County,42,42101,11,dem,28,12804123
179,40345000284,Independence High School,403450,Glendale Union High School District,2/12/2016,2015-2016,2016,7:53 AM,Friday,Glendale,Arizona,public,2114,1,0,1,targeted,15,f,unknown,student,1,suicide,247,190,1535,42,29,0,9mm Beretta pistol,"classmate, who took from parents",33.53216,-112.221,89.6,9,12,1584,Maricopa County,4,4013,21,dem,2,7640796
180,3.90E+11,Madison High School,3904612,Madison Local,2/29/2016,2015-2016,2016,11:15 AM,Monday,Middletown,Ohio,public,1543,0,4,4,unclear,14,m,w,student,0,unknown,1495,9,13,2,0,1,Sig Sauer P238,family home,39.53385,-84.4433,33.5,9,12,248,Butler County,39,39017,41,rep,31,11714618
181,10039000141,Huffman High School,100390,Birmingham City,3/15/2016,2015-2016,2016,2:30 PM,Tuesday,Birmingham,Alabama,public,1433,0,1,1,targeted,19,m,b,brother of student,0,unknown,13,1341,63,2,6,1,unknown,unknown,33.61291,-86.682,66,9,12,775,Jefferson County,1,1073,12,rep,15,4949697
182,4.81E+11,Alpine High School,4807950,Alpine ISD,9/8/2016,2016-2017,2016,9:00 AM,Thursday,Alpine,Texas,public,292,0,1,1,targeted,14,f,unknown,student,1,suicide,97,2,190,1,0,0,9-mm. semi-automatic handgun,unknown,30.371983,-103.665798,31.32,9,12,111,Brewster County,48,48043,33,rep,10,29730311
183,4.50E+11,Townville Elementary School,4500870,Anderson 04,9/28/2016,2016-2017,2016,1:45 PM,Wednesday,Townville,South Carolina,public,295,1,2,3,indiscriminate,14,m,w,former student,0,unknown,265,13,3,2,0,0,.40 caliber pistol,father,34.56311,-82.903471,19,PK,6,186,Anderson County,45,45007,42,rep,36,5342388
184,10237000964,CF Vigor High School,102370,Mobile County,10/11/2016,2016-2017,2016,3:45 PM,Tuesday,Prichard,Alabama,public,710,0,1,1,targeted,16,m,b,unknown,0,unknown,13,693,2,0,1,1,unknown,unknown,30.743233,-88.080692,41,9,12,511,Mobile County,1,1097,21,rep,15,4949697
185,3.90E+11,Linden-McKinley STEM Academy,3904380,Columbus City School District,10/13/2016,2016-2017,2016,2:40 PM,Thursday,Columbus,Ohio,public,719,0,2,2,targeted,0,m,unknown,unknown,0,unknown,56,582,35,2,1,1,unknown,unknown,40.00952,-82.974011,50,7,12,619,Franklin County,39,39049,11,rep,31,11714618
186,63441011252,June Jordan High School for Equity,634410,San Francisco Unified,10/18/2016,2016-2017,2016,3:20 PM,Tuesday,San Francisco,California,public,258,0,4,4,targeted,0,m,unknown,unknown,0,unknown,8,48,157,28,1,0,pistols,unknown,37.719558,-122.425241,23.72,9,12,198,San Francisco County,6,6075,11,dem,48,39613493
187,4.90E+11,Union Middle School,4900142,Canyons District,10/25/2016,2016-2017,2016,3:00 PM,Tuesday,Sandy,Utah,public,907,0,1,1,targeted,14,m,unknown,student,0,unknown,592,15,226,16,5,1,unknown,mother,40.60715,-111.873061,0,6,8,389,Salt Lake County,49,49035,21,rep,12,3363182
188,2.60E+11,Bay City Western High School,2604260,Bay City School District,11/11/2016,2016-2017,2016,12:30 PM,Friday,Auburn,Michigan,public,1256,0,1,1,accidental,50,m,w,resource officer,0,unknown,1176,6,36,10,4,1,.380-caliber Sig Sauer pistol,legally purchased by shooter,43.60478,-84.0783,57.55,9,12,292,Bay County,26,26017,23,dem,20,9992427
189,4.90E+11,Mueller Park Jr. High,4900210,Davis District,12/1/2016,2016-2017,2016,8:13 AM,Thursday,Bountiful,Utah,public,813,0,0,0,indiscriminate,15,m,w,student,0,unknown,661,14,78,17,2,1,12-gauge shotgun,parent,40.872489,-111.861172,0,7,9,145,Davis County,49,49011,21,rep,12,3363182
190,3.90E+11,West Liberty-Salem Middle/High School,3904621,West Liberty-Salem Local,1/20/2017,2016-2017,2017,7:36 AM,Friday,West Liberty,Ohio,public,622,0,2,2,indiscriminate,17,m,w,student,0,unknown,590,1,3,3,1,0,Mossberg Model 500 12 gauge shotgun,gift from grandparents,40.21594,-83.756761,38.4,6,12,0,Champaign County,39,39021,42,rep,31,11714618
191,2.20E+11,Scotlandville Magnet High School,2200540,East Baton Rouge Parish,2/6/2017,2016-2017,2017,12:00 PM,Monday,Baton Rouge,Louisiana,public,1388,0,0,0,targeted,14,m,unknown,student,0,unknown,10,1370,4,0,0,1,handgun,unknown,30.53365,-91.177851,0,8,12,770,East Baton Rouge Parish,22,22033,12,rep,34,4616106
238,10243001035,Robert E. Lee High School,102430,Montgomery County,3/16/2017,2016-2017,2017,3:00 PM,Thursday,Montgomery,Alabama,public,1514,0,1,1,targeted,16,b,m,student,,unknown,132,1253,90,20,2,0,.40-caliber handgun,unknown,32.378702,-86.271649,82.5,9,12,941,Montgomery County,1,1101,12,rep,15,4949697
192,63417005375,North Park Elementary School,634170,San Bernardino City Unified,4/10/2017,2016-2017,2017,10:30 AM,Monday,San Bernardino,California,public,531,2,1,3,targeted,53,m,b,husband of teacher,1,suicide,61,60,360,9,3,0,Smith & Wesson .357 Magnum revolver,unknown,34.179206,-117.301804,19,KG,6,407,San Bernardino County,6,6071,12,dem,48,39613493
193,2.20E+11,Moss Bluff Elementary School,2200330,Calcasieu Parish,5/15/2017,2016-2017,2017,7:50 AM,Monday,Lake Charles,Louisiana,public,963,0,1,1,accidental,7,m,w,student,0,unknown,754,118,36,14,2,0,.380 caliber semi-automatic handgun,"father's gun, kept by 17 year old who shared room with shooter",30.29966,-93.2032,69.56,PK,5,439,Calcasieu Parish,22,22019,41,rep,34,4616106
194,10171002162,Greensboro High School,101710,Hale County,5/24/2017,2016-2017,2017,11:30 AM,Wednesday,Greensboro,Alabama,public,464,0,0,0,targeted,0,m,unknown,student,0,unknown,3,457,1,0,0,0,.22 caliber revolver,unknown,32.70713,-87.589,26.5,9,12,373,Hale County,1,1065,42,rep,15,4949697
195,1.71E+11,Warren Elementary School,1709930,City of Chicago SD 299,6/16/2017,2016-2017,2017,1:51 PM,Friday,Chicago,Illinois,public,280,0,2,2,targeted,0,m,b,unknown,0,unknown,0,275,4,0,0,1,unknown,unknown,41.726922,-87.575184,14.1,PK,8,263,Cook County,17,17031,11,dem,29,12569321
196,3.90E+11,Columbus Scioto 6-12,3904380,Columbus City School District,9/8/2017,2017-2018,2017,8:33 AM,Friday,Columbus,Ohio,public,127,0,0,0,indiscriminate,18,m,b,unknown,0,unknown,46,71,4,0,0,0,.38-caliber handgun,unknown,39.90163,-82.9958,34,6,12,127,Franklin County,39,39049,11,rep,31,11714618
197,5.30E+11,Freeman High School,5302970,Freeman School District,9/13/2017,2017-2018,2017,10:00 AM,Wednesday,Rockford,Washington,public,330,1,3,4,indiscriminate,15,m,w,student,0,unknown,282,7,23,5,4,1,"AR-15, pistol",father,47.519667,-117.19638,16.61,9,12,69,Spokane County,53,53063,42,dem,42,7887965
198,1.73E+11,Mattoon High School,1725050,Mattoon CUSD 2,9/20/2017,2017-2018,2017,11:30 AM,Wednesday,Mattoon,Illinois,public,1047,0,1,1,targeted,14,m,w,student,0,unknown,931,36,40,9,1,1,.40-caliber Ruger semiautomatic pistol,stepfather,39.474405,-88.386955,58.05,9,12,518,Coles County,17,17029,32,dem,29,12569321
199,2.62E+11,Pattengill Academy,2621150,Lansing Public School District,11/3/2017,2017-2018,2017,4:30 PM,Friday,Lansing,Michigan,public,506,0,1,1,accidental,21,m,b,unknown,0,unknown,135,180,125,11,4,0,handgun,puchased legally by shooter from Dicker & Deal,42.73889,-84.5243,27.84,4,6,393,Ingham County,26,26065,12,dem,20,9992427
200,1.30E+11,Benjamin Banneker High School,1302280,Fulton County,11/9/2017,2017-2018,2017,3:25 PM,Thursday,College Park,Georgia,public,1547,0,2,2,accidental,0,,unknown,unknown,0,unknown,6,1478,49,2,1,1,small-caliber handgun,unknown,33.59297,-84.5176,106.9,9,12,1544,Fulton County,13,13121,21,dem,23,10830007
201,60978004178,Rancho Tehama Elementary School,609780,Corning Union Elementary,11/14/2017,2017-2018,2017,7:50 AM,Tuesday,Corning,California,public,101,0,2,2,targeted and indiscriminate,44,m,w,had beef with family of student at school,1,suicide,44,2,49,3,2,0,handmade AR-15-type rifle,contructed from parts legally purchased by shooter,40.015716,-122.398455,5.1,KG,5,84,Tehama County,6,6103,43,dem,48,39613493
202,3.50E+11,Aztec High School,3500150,Aztec Municipal Schools,12/7/2017,2017-2018,2017,8:04 AM,Thursday,Aztec,New Mexico,public,905,2,0,2,indiscriminate,21,m,w,former student,1,suicide,495,7,225,2,170,0,9mm Glock,legally purchased by shooter,36.820644,-107.990379,52.5,9,12,432,San Juan County,35,35045,31,dem,21,2109093
203,3.70E+11,High Point Central High School,3701920,Guilford County Schools,12/11/2017,2017-2018,2017,2:08 PM,Monday,High Point,North Carolina,public,1442,0,0,0,targeted,15,m,b,unknown,0,unknown,437,589,216,147,6,1,handgun,unknown,35.95795,-80.0231,94.67,9,12,904,Guilford County,37,37081,12,rep,32,10701022
204,4.82E+11,Italy High School,4824450,Italy ISD,1/22/2018,2017-2018,2018,7:53 AM,Monday,Italy,Texas,public,288,0,1,1,targeted,16,m,w,student,0,unknown,141,43,94,0,0,0,semi-automatic .380 caliber handgun,unknown,32.181129,-96.878968,29.21,6,12,173,Ellis County,48,48139,42,rep,10,29730311
205,2.20E+11,The NET Charter High School,2200188,Rsd-educators For Quality Alternatives,1/22/2018,2017-2018,2018,1:30 PM,Monday,New Orleans,Louisiana,public,172,0,0,0,targeted,0,,unknown,unknown,0,unknown,5,151,16,0,0,0,unknown,unknown,29.93996,-90.079691,19.94,9,12,,Orleans Parish,22,22071,11,rep,34,4616106
206,2.10E+11,Marshall County High School,2103810,Marshall County,1/23/2018,2017-2018,2018,7:57 AM,Tuesday,Benton,Kentucky,public,1384,2,14,16,indiscriminate,15,m,w,student,0,unknown,1353,1,14,2,3,1,handgun,stepfather's bedroom,36.912835,-88.332917,73.1,9,12,584,Marshall County,21,21157,42,rep,7,4487233
207,10237000942,Murphy High School,102370,Mobile County,1/25/2018,2017-2018,2018,11:20 AM,Thursday,Mobile,Alabama,public,2100,0,0,0,targeted,16,m,b,student,0,unknown,402,1565,62,42,3,1,revolver,stolen,30.6828,-88.0867,120,9,12,905,Mobile County,1,1097,12,rep,15,4949697
208,62271012483,Salvador B. Castro Middle School,622710,Los Angeles Unified,2/1/2018,2017-2018,2018,9:00 AM,Thursday,Los Angeles,California,public,345,0,5,5,accidental,12,f,unknown,student,0,unknown,2,8,311,21,0,0,semi-automatic handgun,unknown,34.06169,-118.265,15.83,6,8,309,Los Angeles County,6,6037,11,dem,48,39613493
209,1.20E+11,Marjory Stoneman Douglas High School,1200180,Broward,2/14/2018,2017-2018,2018,2:21 PM,Wednesday,Parkland,Florida,public,3158,17,17,34,indiscriminate,19,m,w,former student (expelled),0,unknown,1871,364,623,210,17,1,Smith & Wesson M&P15,legally purchased by shooter,26.304483,-80.269365,129,9,12,710,Broward County,12,12011,21,rep,30,21944577
210,1.30E+11,Dalton High School,1301620,Dalton City,2/28/2018,2017-2018,2018,11:30 AM,Wednesday,Dalton,Georgia,public,1829,0,0,0,indiscriminate,53,m,w,teacher,0,unknown,458,103,1192,36,2,1,.38-caliber snub-nosed revolver,unknown,34.77972,-84.99053,101.7,9,12,1152,Whitfield County,13,13313,13,dem,23,10830007
211,10039000141,Huffman High School,100390,Birmingham City,3/7/2018,2017-2018,2018,3:45 PM,Wednesday,Birmingham,Alabama,public,1433,1,0,1,accidental,17,m,b,student,0,unknown,13,1341,63,2,6,1,pistol,unknown,33.61291,-86.682,66,9,12,775,Jefferson County,1,1073,12,rep,15,4949697
212,62553003843,Seaside High School,625530,Monterey Peninsula Unified,3/13/2018,2017-2018,2018,1:20 PM,Tuesday,Seaside,California,public,1059,0,3,3,accidental,0,m,w,teacher,0,unknown,113,79,680,107,1,0,Glock 21 .45-caliber handgun,department issued,36.62444,-121.838,52.75,9,12,736,Monterey County,6,6053,22,dem,48,39613493
213,3.02E+11,Big Sky High School,3018540,Missoula H S,3/16/2018,2017-2018,2018,12:45 PM,Friday,Missoula ,Montana,public,1075,0,0,0,targeted,0,m,unknown,resource officer,0,unknown,903,17,58,21,70,1,pistol,department issued,46.850867,-114.057737,68.29,9,12,405,Missoula County,30,30063,13,rep,4,1093117
214,5.10E+11,Douglass Park Elementary School,5103000,Portsmouth City Pblc Schs,3/19/2018,2017-2018,2018,4:23 PM,Monday,Portsmouth,Virginia,public,761,0,1,1,unclear,0,,unknown,unknown,0,unknown,5,738,8,2,1,0,unknown,unknown,36.81828,-76.3393,44,KG,6,758,Portsmouth City,51,51740,13,dem,38,8638218
